epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,122.528,3.20236,2.3573,0.00849,0.39714,0.47669,0.31394,0.09579,2.62979,1.5666,0.00694,0.000664093,0.000664093,0.000664093
2,246.035,2.74073,1.21683,0.00576,0.63533,0.5533,0.54623,0.22449,2.34836,1.02346,0.00614,0.00106727,0.00106727,0.00106727
3,371.168,2.62336,1.08739,0.0053,0.68218,0.59361,0.6027,0.23644,2.34061,0.99354,0.00592,0.00120645,0.00120645,0.00120645
4,503.225,2.52854,1.03014,0.00507,0.69297,0.59937,0.60141,0.23203,2.26652,0.99379,0.00576,0.000812,0.000812,0.000812
5,633.145,2.45927,0.98767,0.0049,0.70815,0.61279,0.63613,0.28212,2.1782,0.93415,0.00549,0.000416,0.000416,0.000416
