epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,138.102,2.04973,1.59932,0.00425,0.56325,0.32513,0.2913,0.10548,2.95193,2.30317,0.00867,0.000996656,0.000996656,0.000996656
2,277.906,2.01331,1.44944,0.00426,0.5824,0.349,0.34201,0.12798,2.67872,2.04827,0.00786,0.00133776,0.00133776,0.00133776
3,427.302,1.94041,1.34052,0.00415,0.6126,0.33171,0.32923,0.13413,2.75046,2.14168,0.00793,0.00068,0.00068,0.00068
