confidence_threshold,stage,precision,recall,f1,count_mae,count_bias
0.05,early,0.43665647487569104,0.8754760209294405,0.5826885232389214,21.462344466273738,21.256712508185984
0.05,middle,0.493752467986687,0.9552275455636801,0.651004090740052,23.36698499317872,23.36698499317872
0.05,late,0.47956766360675157,0.9610757444971947,0.6398541745236428,23.96780424983902,23.96780424983902
0.1,early,0.6264761208067718,0.7424068856620948,0.6795324123273113,7.073346430910282,3.914210870988867
0.1,middle,0.6037375504230179,0.9228691476590636,0.7299466971665336,13.22237380627558,13.215552523874488
0.1,late,0.5926683043306478,0.930648467846353,0.7241643490580888,13.618158403090792,13.613007083065035
0.15,early,0.7287689269256089,0.6169231245549398,0.6681980516758604,5.620825147347741,-3.246234446627374
0.15,middle,0.6725191939567339,0.8914383935392339,0.7666568897753272,8.231241473396999,8.138472032742156
0.15,late,0.6650884277955716,0.9018126888217523,0.765568646309209,8.613650998068255,8.496458467482292
0.2,early,0.7816826411075612,0.5226787207034274,0.6264657859581416,7.647675180091683,-7.008513425016372
0.2,middle,0.7222425545541882,0.8614809560187712,0.7857409481149682,5.281036834924966,4.8199181446111865
0.2,late,0.7172158410572531,0.8724913681484678,0.7872702932943897,5.653573728267869,5.168061815840309
0.25,early,0.8139380530973451,0.45561782098516984,0.5842116754997122,9.675834970530452,-9.311722331368697
0.25,middle,0.7613180015464818,0.8327512823311143,0.7954341112544467,3.6227830832196455,2.3458390177353343
0.25,late,0.7591841689935657,0.8434128182995253,0.7990850658727016,3.8989053444945267,2.648422408242112
0.3,early,0.8422909184197024,0.4066070156970804,0.5484537804597941,11.205631958087753,-10.94106090373281
0.3,middle,0.793805833602411,0.804894685146786,0.7993118023192805,3.068212824010914,0.34924965893587995
0.3,late,0.7947039023877143,0.815197453603798,0.8048202396804262,3.157759175788796,0.6155827430779137
0.35,early,0.8624693494879562,0.3702591411498808,0.5180981262861475,12.275703994760969,-12.071381794368042
0.35,middle,0.8221433927438426,0.7777747462621413,0.7993438577797719,3.231923601637108,-1.34924965893588
0.35,late,0.8242567968154485,0.7875485541648684,0.8054846674851365,3.1635544108177722,-1.0631036703155183
0.4,early,0.8817671698411443,0.3454286510418279,0.49639615589962627,13.045186640471513,-12.865749836280289
0.4,middle,0.845162679131558,0.7498362981556259,0.7946508601995085,3.8717598908594817,-2.819918144611187
0.4,late,0.8509512143483653,0.7589285714285714,0.802309831040137,3.6980038634900194,-2.581455247907276
0.45,early,0.8969707342118775,0.32453017121273103,0.47661702853245425,13.650949574328749,-13.49901768172888
0.45,middle,0.8663068163117533,0.7181327076285059,0.7852912657566943,4.84924965893588,-4.276261937244202
0.45,late,0.8728991257782509,0.7299039706517048,0.7950228437954487,4.462974887314874,-3.910495814552479
0.5,early,0.912027238428269,0.306851605312858,0.45920400315062776,14.159790438768828,-14.035363457760313
0.5,middle,0.8832490873350183,0.686510968023573,0.772551427694197,5.886766712141883,-5.568894952251023
0.5,late,0.8916583468172272,0.6986404833836858,0.7834359261331841,5.45460399227302,-5.16741790083709
0.6,early,0.9366077136160239,0.27217560915198613,0.4217824157370757,15.077275703994761,-15.005239030779306
0.6,middle,0.9128036663016588,0.614072901888028,0.7342152049454402,8.280354706684857,-8.18212824010914
0.6,late,0.9241653418124006,0.6272119119551144,0.7472682864121352,7.751448808757244,-7.670315518351577
0.7,early,0.9594162079119191,0.2320195671692622,0.3736724008975318,16.058939096267192,-16.036673215455142
0.7,middle,0.9393774971637153,0.5195896540434356,0.6690909090909092,11.208049113233288,-11.172578444747613
0.7,late,0.9514078764330599,0.5350129477772982,0.6848875153231238,10.473277527366388,-10.447520927237605
